Zone Timestep,Environment:Site Outdoor Air Drybulb Temperature[C]
2009-Jan-03 02:50:00,7.133333333333333
2009-Jan-03 03:00:00,7.3
2009-Jan-03 03:10:00,7.3
2009-Jan-03 03:20:00,7.300000000000001
2009-Jan-03 03:30:00,7.3
2009-Jan-03 03:40:00,7.3
2009-Jan-03 03:50:00,7.299999999999999
2009-Jan-03 04:00:00,7.3
2009-Jan-03 04:10:00,7.316666666666666
2009-Jan-03 04:20:00,7.333333333333334
2009-Jan-03 04:30:00,7.35
2009-Jan-03 04:40:00,7.366666666666667
2009-Jan-03 04:50:00,7.383333333333333
2009-Jan-03 05:00:00,7.4
2009-Jan-03 05:10:00,7.433333333333334
2009-Jan-03 05:20:00,7.466666666666668
2009-Jan-03 05:30:00,7.5
2009-Jan-03 05:40:00,7.533333333333333
2009-Jan-03 05:50:00,7.566666666666666
2009-Jan-03 06:00:00,7.6
2009-Jan-03 06:10:00,7.633333333333333
2009-Jan-03 06:20:00,7.666666666666667
2009-Jan-03 06:30:00,7.699999999999999
2009-Jan-03 06:40:00,7.7333333333333325
2009-Jan-03 06:50:00,7.766666666666667
2009-Jan-03 07:00:00,7.8
2009-Jan-03 07:10:00,7.833333333333333
2009-Jan-03 07:20:00,7.866666666666667
2009-Jan-03 07:30:00,7.9
2009-Jan-03 07:40:00,7.933333333333334
2009-Jan-03 07:50:00,7.966666666666667
2009-Jan-03 08:00:00,8.0
2009-Jan-03 08:10:00,7.966666666666667
2009-Jan-03 08:20:00,7.933333333333334
2009-Jan-03 08:30:00,7.9
2009-Jan-03 08:40:00,7.866666666666666
2009-Jan-03 08:50:00,7.833333333333333
2009-Jan-03 09:00:00,7.8
2009-Jan-03 09:10:00,7.783333333333333
2009-Jan-03 09:20:00,7.766666666666667
2009-Jan-03 09:30:00,7.75
2009-Jan-03 09:40:00,7.7333333333333325
2009-Jan-03 09:50:00,7.716666666666667
2009-Jan-03 10:00:00,7.7
2009-Jan-03 10:10:00,7.816666666666666
2009-Jan-03 10:20:00,7.933333333333334
2009-Jan-03 10:30:00,8.05
