Zone Timestep,THERMAL ZONE 1:Zone Ventilation Mass Flow Rate[kg/s]
2009-Jan-03 00:20:00,0.28547270191542984
2009-Jan-03 00:30:00,0.28612248800588375
2009-Jan-03 00:40:00,0.28683194801185974
2009-Jan-03 00:50:00,0.28756902498146225
2009-Jan-03 01:00:00,0.28830709207437805
2009-Jan-03 01:10:00,0.287104761475315
2009-Jan-03 01:20:00,0.28617353857922473
2009-Jan-03 01:30:00,0.28547559882349205
2009-Jan-03 01:40:00,0.284853415010267
2009-Jan-03 01:50:00,0.2842226976795511
2009-Jan-03 02:00:00,0.28358053905295205
2009-Jan-03 02:10:00,0.28570564972543405
2009-Jan-03 02:20:00,0.2878096441706519
2009-Jan-03 02:30:00,0.28989615428787474
2009-Jan-03 02:40:00,0.2919821596699667
2009-Jan-03 02:50:00,0.29407812312175846
2009-Jan-03 03:00:00,0.2961843906465409
2009-Jan-03 03:10:00,0.29658757632653254
2009-Jan-03 03:20:00,0.2967835395883975
2009-Jan-03 03:30:00,0.2967960327022148
2009-Jan-03 03:40:00,0.29674603764038465
2009-Jan-03 03:50:00,0.2968201950177328
2009-Jan-03 04:00:00,0.296913187295392
2009-Jan-03 04:10:00,0.2977600455511872
2009-Jan-03 04:20:00,0.298555570544559
2009-Jan-03 04:30:00,0.29933244336738807
2009-Jan-03 04:40:00,0.30000204202622516
2009-Jan-03 04:50:00,0.3006812346974133
2009-Jan-03 05:00:00,0.3014235594765167
2009-Jan-03 05:10:00,0.30298438003730105
2009-Jan-03 05:20:00,0.30469985399811567
2009-Jan-03 05:30:00,0.30637830369679664
2009-Jan-03 05:40:00,0.3079594368196274
2009-Jan-03 05:50:00,0.3094903853359179
2009-Jan-03 06:00:00,0.3110193627466306
2009-Jan-03 06:10:00,0.30685580169546106
2009-Jan-03 06:20:00,0.3046657980484383
2009-Jan-03 06:30:00,0.30256329817580446
2009-Jan-03 06:40:00,0.29952804012444284
2009-Jan-03 06:50:00,0.2958740974074379
2009-Jan-03 07:00:00,0.2921118252713315
2009-Jan-03 07:10:00,0.2942510698975815
2009-Jan-03 07:20:00,0.2970143762865028
2009-Jan-03 07:30:00,0.2994927331207597
2009-Jan-03 07:40:00,0.3014165988422429
2009-Jan-03 07:50:00,0.3031929344467823
2009-Jan-03 08:00:00,0.30494964344452624
2009-Jan-03 08:10:00,0.3083991468425674
2009-Jan-03 08:20:00,0.315691937375394
2009-Jan-03 08:30:00,0.31948083835457286
2009-Jan-03 08:40:00,0.32205604791723214
2009-Jan-03 08:50:00,0.323532435400125
2009-Jan-03 09:00:00,0.32508856575080647
2009-Jan-03 09:10:00,0.3240802196708429
2009-Jan-03 09:20:00,0.3233778345878269
2009-Jan-03 09:30:00,0.3227460502893761
2009-Jan-03 09:40:00,0.3220690533340219
2009-Jan-03 09:50:00,0.32134971522491285
2009-Jan-03 10:00:00,0.32062049928641034
2009-Jan-03 10:10:00,0.32075567978827385
2009-Jan-03 10:20:00,0.32105805982096886
2009-Jan-03 10:30:00,0.32150116804960893
2009-Jan-03 10:40:00,0.32198670873373764
2009-Jan-03 10:50:00,0.32246092939246096
2009-Jan-03 11:00:00,0.32292096592104746
2009-Jan-03 11:10:00,0.3203577519449316
2009-Jan-03 11:20:00,0.31778358485857094
2009-Jan-03 11:30:00,0.31520045647697265
2009-Jan-03 11:40:00,0.31261576279677344
2009-Jan-03 11:50:00,0.31030387801126935
2009-Jan-03 12:00:00,0.30798881710719533
2009-Jan-03 12:10:00,0.309739985685134
2009-Jan-03 12:20:00,0.30986632572377526
2009-Jan-03 12:30:00,0.30936244292954335
2009-Jan-03 12:40:00,0.30902519543830587
2009-Jan-03 12:50:00,0.30901354542884213
2009-Jan-03 13:00:00,0.3089830647396214
2009-Jan-03 13:10:00,0.3060828856067924
2009-Jan-03 13:20:00,0.305001316682665
2009-Jan-03 13:30:00,0.3049046023101535
2009-Jan-03 13:40:00,0.30478093960425473
