Zone Timestep,THERMAL ZONE 1:Zone Air Temperature[C]
2009-Jan-03 02:50:00,15.5310544412764
2009-Jan-03 03:00:00,15.592686828910843
2009-Jan-03 03:10:00,15.62517028679869
2009-Jan-03 03:20:00,15.631837702254263
2009-Jan-03 03:30:00,15.62971035383779
2009-Jan-03 03:40:00,15.645061241982436
2009-Jan-03 03:50:00,15.66306771322699
2009-Jan-03 04:00:00,15.67328443178311
2009-Jan-03 04:10:00,15.676330893040538
2009-Jan-03 04:20:00,15.676806780993026
2009-Jan-03 04:30:00,15.662220250611183
2009-Jan-03 04:40:00,15.649035322426597
2009-Jan-03 04:50:00,15.6448020283524
2009-Jan-03 05:00:00,15.645744598724463
2009-Jan-03 05:10:00,15.668715313470551
2009-Jan-03 05:20:00,15.686680213241091
2009-Jan-03 05:30:00,15.691115965599867
2009-Jan-03 05:40:00,15.68866489178335
2009-Jan-03 05:50:00,15.686134000067717
2009-Jan-03 06:00:00,15.68546776245052
2009-Jan-03 06:10:00,15.963649060386802
2009-Jan-03 06:20:00,16.254041049013768
2009-Jan-03 06:30:00,16.412253679646845
2009-Jan-03 06:40:00,16.4826428380528
2009-Jan-03 06:50:00,16.53740819201448
2009-Jan-03 07:00:00,16.606514101903166
2009-Jan-03 07:10:00,16.76406725974748
2009-Jan-03 07:20:00,16.881330541132378
2009-Jan-03 07:30:00,16.920106359026505
2009-Jan-03 07:40:00,16.938029503685566
2009-Jan-03 07:50:00,16.95321689282452
2009-Jan-03 08:00:00,16.96675818279277
2009-Jan-03 08:10:00,17.523891597032588
2009-Jan-03 08:20:00,18.055141010813628
2009-Jan-03 08:30:00,18.167487479415055
2009-Jan-03 08:40:00,18.074327243023983
2009-Jan-03 08:50:00,17.99248975830021
2009-Jan-03 09:00:00,17.967925632682032
2009-Jan-03 09:10:00,17.986725795640044
2009-Jan-03 09:20:00,18.015530119454983
2009-Jan-03 09:30:00,18.037923883132972
2009-Jan-03 09:40:00,18.05431440324973
2009-Jan-03 09:50:00,18.06930289426083
2009-Jan-03 10:00:00,18.084864841815786
2009-Jan-03 10:10:00,18.124067118022143
2009-Jan-03 10:20:00,18.18317697159467
2009-Jan-03 10:30:00,18.24826324212916
2009-Jan-03 10:40:00,18.3116995615625
2009-Jan-03 10:50:00,18.373076122491064
2009-Jan-03 11:00:00,18.434242303406435
2009-Jan-03 11:10:00,18.493827011025434
2009-Jan-03 11:20:00,18.55211309127223
2009-Jan-03 11:30:00,18.61015092559081
2009-Jan-03 11:40:00,18.70691070477325
2009-Jan-03 11:50:00,18.80319594121625
2009-Jan-03 12:00:00,18.880864846843526
2009-Jan-03 12:10:00,18.72740114686154
2009-Jan-03 12:20:00,18.484452349424497
2009-Jan-03 12:30:00,18.264968524524804
2009-Jan-03 12:40:00,18.091292473710972
2009-Jan-03 12:50:00,17.914724876868636
2009-Jan-03 13:00:00,17.69998370512046
2009-Jan-03 13:10:00,17.741035441891135
2009-Jan-03 13:20:00,17.920518234366536
2009-Jan-03 13:30:00,18.09584861552845
2009-Jan-03 13:40:00,18.22257786658303
2009-Jan-03 13:50:00,18.321408074244413
2009-Jan-03 14:00:00,18.41914995806376
2009-Jan-03 14:10:00,18.479046018115238
2009-Jan-03 14:20:00,18.50329663771109
2009-Jan-03 14:30:00,18.508889394335014
2009-Jan-03 14:40:00,18.50429395048962
2009-Jan-03 14:50:00,18.505329211083726
2009-Jan-03 15:00:00,18.499805968338183
2009-Jan-03 15:10:00,18.508975609090353
2009-Jan-03 15:20:00,18.534961432895283
2009-Jan-03 15:30:00,18.568612009862665
2009-Jan-03 15:40:00,18.604391172627892
2009-Jan-03 15:50:00,18.641480442635803
2009-Jan-03 16:00:00,18.679013189075558
2009-Jan-03 16:10:00,18.646394928398426
2009-Jan-03 16:20:00,18.551596098229762
2009-Jan-03 16:30:00,18.43467490684662
2009-Jan-03 16:40:00,18.318397657459652
2009-Jan-03 16:50:00,18.20480120330881
2009-Jan-03 17:00:00,18.08865332651341
2009-Jan-03 17:10:00,17.809439749653986
2009-Jan-03 17:20:00,17.51999584216901
2009-Jan-03 17:30:00,17.322313898160647
2009-Jan-03 17:40:00,17.195293322514754
2009-Jan-03 17:50:00,17.087316461258343
2009-Jan-03 18:00:00,16.97070051813689
2009-Jan-03 18:10:00,16.689327256742423
2009-Jan-03 18:20:00,16.42270195517966
2009-Jan-03 18:30:00,16.2619175357821
2009-Jan-03 18:40:00,16.184064604831402
2009-Jan-03 18:50:00,16.126870417211776
2009-Jan-03 19:00:00,16.05937126769477
2009-Jan-03 19:10:00,15.999805291618348
2009-Jan-03 19:20:00,15.955264885783855
2009-Jan-03 19:30:00,15.919359926224175
2009-Jan-03 19:40:00,15.885018981585207
2009-Jan-03 19:50:00,15.850029410973704
2009-Jan-03 20:00:00,15.815308688700362
2009-Jan-03 20:10:00,15.56759309892059
2009-Jan-03 20:20:00,15.326718259721172
2009-Jan-03 20:30:00,15.19517814542736
2009-Jan-03 20:40:00,15.127882958937986
2009-Jan-03 20:50:00,15.062891252317993
2009-Jan-03 21:00:00,14.982090434843949
2009-Jan-03 21:10:00,14.945151293335481
2009-Jan-03 21:20:00,14.953599395385742
2009-Jan-03 21:30:00,14.978648167528176
2009-Jan-03 21:40:00,15.002488984421813
2009-Jan-03 21:50:00,15.023459420191733
2009-Jan-03 22:00:00,15.045614476004326
2009-Jan-03 22:10:00,14.597922363743812
2009-Jan-03 22:20:00,14.178771587024023
2009-Jan-03 22:30:00,14.040657507377635
2009-Jan-03 22:40:00,14.029406782718805
2009-Jan-03 22:50:00,14.000956409114659
2009-Jan-03 23:00:00,13.931692833877912
2009-Jan-03 23:10:00,13.874265241119105
2009-Jan-03 23:20:00,13.863991033439152
