Zone Timestep,ZONE HVAC BASEBOARD RAD CONV WATER:Baseboard Total Heating Rate[W]
2009-Jan-03 08:20:00,211.04776497358964
2009-Jan-03 08:30:00,222.5899031598595
2009-Jan-03 08:40:00,227.4926924040637
2009-Jan-03 08:50:00,221.5264606098249
2009-Jan-03 09:00:00,217.208786590486
2009-Jan-03 09:10:00,212.11638284991992
2009-Jan-03 09:20:00,205.52631720540396
2009-Jan-03 09:30:00,200.19488013618695
2009-Jan-03 09:40:00,194.52659547473792
2009-Jan-03 09:50:00,188.53555337457732
2009-Jan-03 10:00:00,182.6916762937663
2009-Jan-03 10:10:00,175.5705717626892
2009-Jan-03 10:20:00,168.88176311734856
2009-Jan-03 10:30:00,161.76538603661282
2009-Jan-03 10:40:00,156.21265726715654
2009-Jan-03 10:50:00,149.71581964258527
2009-Jan-03 11:00:00,144.68633286257662
2009-Jan-03 11:10:00,140.3635174035044
2009-Jan-03 11:20:00,137.00041841031043
2009-Jan-03 11:30:00,133.15672105637037
2009-Jan-03 11:40:00,59.90899305032671
2009-Jan-03 11:50:00,46.885627728191004
2009-Jan-03 12:00:00,38.87768565694528
2009-Jan-03 12:10:00,205.6196221865147
2009-Jan-03 12:20:00,198.73453656247335
2009-Jan-03 12:30:00,199.39649856864844
2009-Jan-03 12:40:00,170.0372568612706
2009-Jan-03 12:50:00,170.04397576792186
2009-Jan-03 13:00:00,176.9684998739395
2009-Jan-03 13:10:00,0.0
2009-Jan-03 13:20:00,2.783337121266735
2009-Jan-03 13:30:00,0.0
2009-Jan-03 13:40:00,0.0
2009-Jan-03 13:50:00,0.0
2009-Jan-03 14:00:00,0.0
2009-Jan-03 14:10:00,0.0
2009-Jan-03 14:20:00,0.0
2009-Jan-03 14:30:00,0.0
2009-Jan-03 14:40:00,0.0
2009-Jan-03 14:50:00,29.804943987544497
2009-Jan-03 15:00:00,46.250238769392524
2009-Jan-03 15:10:00,59.27983898166597
2009-Jan-03 15:20:00,68.78612488703817
2009-Jan-03 15:30:00,78.82667615954732
2009-Jan-03 15:40:00,86.58878451326012
2009-Jan-03 15:50:00,92.60576513974387
2009-Jan-03 16:00:00,102.18728872715735
2009-Jan-03 16:10:00,110.40092247968462
2009-Jan-03 16:20:00,116.38336930806082
2009-Jan-03 16:30:00,123.23326660441914
2009-Jan-03 16:40:00,128.74292595951306
2009-Jan-03 16:50:00,134.07968589561932
2009-Jan-03 17:00:00,139.25267845710064
2009-Jan-03 17:10:00,379.01111242554987
2009-Jan-03 17:20:00,368.7095170771762
2009-Jan-03 17:30:00,375.1159797313199
2009-Jan-03 17:40:00,375.7028331764304
2009-Jan-03 17:50:00,377.6039777019716
2009-Jan-03 18:00:00,380.76485658705025
2009-Jan-03 18:10:00,720.4886626890183
2009-Jan-03 18:20:00,705.5591079282766
2009-Jan-03 18:30:00,714.5862655192051
2009-Jan-03 18:40:00,713.3921407130883
2009-Jan-03 18:50:00,716.7266873322052
2009-Jan-03 19:00:00,719.9343968834937
2009-Jan-03 19:10:00,719.864749718142
2009-Jan-03 19:20:00,722.2269821086235
2009-Jan-03 19:30:00,722.1851368515952
2009-Jan-03 19:40:00,724.3479716590792
2009-Jan-03 19:50:00,725.5281727768271
2009-Jan-03 20:00:00,726.5841655881637
2009-Jan-03 20:10:00,1016.7878264967723
