Zone Timestep,ZONE HVAC BASEBOARD RAD CONV WATER:Baseboard Total Heating Rate[W]
2009-Jan-03 03:10:00,2675.742141117374
2009-Jan-03 03:20:00,2674.0244432439995
2009-Jan-03 03:30:00,2673.7131958951745
2009-Jan-03 03:40:00,2673.794831821642
2009-Jan-03 03:50:00,2672.7657666505984
2009-Jan-03 04:00:00,2671.6729702393486
2009-Jan-03 04:10:00,2670.5558367849926
2009-Jan-03 04:20:00,2669.729540546003
2009-Jan-03 04:30:00,2671.1198943720783
2009-Jan-03 04:40:00,2672.9451311317594
2009-Jan-03 04:50:00,2674.5783930010184
2009-Jan-03 05:00:00,2674.9612769568066
2009-Jan-03 05:10:00,2674.7611328475414
2009-Jan-03 05:20:00,2671.102320333631
2009-Jan-03 05:30:00,2669.7328041995875
2009-Jan-03 05:40:00,2669.625064809836
2009-Jan-03 05:50:00,2669.639012143969
2009-Jan-03 06:00:00,2669.578239330156
2009-Jan-03 06:10:00,2669.456438942821
2009-Jan-03 06:20:00,2656.984854477216
2009-Jan-03 06:30:00,2642.5372356309967
2009-Jan-03 06:40:00,2644.377956743703
2009-Jan-03 06:50:00,2643.0106640752942
2009-Jan-03 07:00:00,2641.3563905653846
2009-Jan-03 07:10:00,2639.3185214916243
2009-Jan-03 07:20:00,2634.960567344326
2009-Jan-03 07:30:00,2630.5134710914635
2009-Jan-03 07:40:00,2628.57204724688
2009-Jan-03 07:50:00,2626.2155480489405
2009-Jan-03 08:00:00,2624.6736434482764
2009-Jan-03 08:10:00,2621.6373203645144
2009-Jan-03 08:20:00,2608.7218004048937
2009-Jan-03 08:30:00,2582.0041948689673
2009-Jan-03 08:40:00,2578.6654873173693
2009-Jan-03 08:50:00,2580.5112295240956
2009-Jan-03 09:00:00,2581.8664301875006
2009-Jan-03 09:10:00,2581.550665999319
2009-Jan-03 09:20:00,2580.031015241467
2009-Jan-03 09:30:00,2578.3768048678253
2009-Jan-03 09:40:00,2576.933328536215
2009-Jan-03 09:50:00,2575.7546176410574
2009-Jan-03 10:00:00,2574.6198082252668
2009-Jan-03 10:10:00,2573.6013797788196
2009-Jan-03 10:20:00,2571.7779293301655
2009-Jan-03 10:30:00,2569.3314603159156
2009-Jan-03 10:40:00,2566.6259470238338
2009-Jan-03 10:50:00,2563.902813751358
2009-Jan-03 11:00:00,2561.2137513135945
2009-Jan-03 11:10:00,2558.4992884938115
2009-Jan-03 11:20:00,2555.8192370941456
2009-Jan-03 11:30:00,2553.1753740875824
2009-Jan-03 11:40:00,2551.180397483535
2009-Jan-03 11:50:00,2545.6556820954597
2009-Jan-03 12:00:00,2540.9266455963557
2009-Jan-03 12:10:00,2537.704790222134
2009-Jan-03 12:20:00,2542.2862211465736
2009-Jan-03 12:30:00,2549.153241144943
2009-Jan-03 12:40:00,2553.53247365383
2009-Jan-03 12:50:00,2555.5906830033477
2009-Jan-03 13:00:00,2551.1174982128914
2009-Jan-03 13:10:00,2563.038969385807
2009-Jan-03 13:20:00,2561.311412578035
2009-Jan-03 13:30:00,2555.6561858126397
2009-Jan-03 13:40:00,2557.6852285143277
2009-Jan-03 13:50:00,2555.412104583023
2009-Jan-03 14:00:00,2552.813189190496
2009-Jan-03 14:10:00,2549.9209615631003
2009-Jan-03 14:20:00,2547.6755279591175
2009-Jan-03 14:30:00,2546.344916553739
2009-Jan-03 14:40:00,2545.8225870491983
2009-Jan-03 14:50:00,2545.906859270418
2009-Jan-03 15:00:00,2545.392331905585
2009-Jan-03 15:10:00,2545.998496772297
2009-Jan-03 15:20:00,2545.8520809974348
2009-Jan-03 15:30:00,2545.38645109133
2009-Jan-03 15:40:00,2544.6984823422035
2009-Jan-03 15:50:00,2543.7677615970792
2009-Jan-03 16:00:00,2542.7206173946
2009-Jan-03 16:10:00,2541.8053149902494
2009-Jan-03 16:20:00,2542.753367150479
2009-Jan-03 16:30:00,2545.5818096946336
2009-Jan-03 16:40:00,2548.879796948864
2009-Jan-03 16:50:00,2552.078478636491
2009-Jan-03 17:00:00,2554.902934016902
2009-Jan-03 17:10:00,2557.4677906480147
2009-Jan-03 17:20:00,2556.6252027898813
2009-Jan-03 17:30:00,2569.8201709604537
2009-Jan-03 17:40:00,2578.312942024654
2009-Jan-03 17:50:00,2586.0936880927998
2009-Jan-03 18:00:00,2592.166701525498
2009-Jan-03 18:10:00,2597.9798140803196
2009-Jan-03 18:20:00,2633.437722065029
2009-Jan-03 18:30:00,2642.955451426382
2009-Jan-03 18:40:00,2653.700405047331
2009-Jan-03 18:50:00,2658.058627759697
2009-Jan-03 19:00:00,2660.982917799532
2009-Jan-03 19:10:00,2664.7917636288043
2009-Jan-03 19:20:00,2668.0804175335434
2009-Jan-03 19:30:00,2670.2587778381053
2009-Jan-03 19:40:00,2671.8515819191402
2009-Jan-03 19:50:00,2673.392563117788
2009-Jan-03 20:00:00,2675.0455437609044
2009-Jan-03 20:10:00,2676.6580371850396
2009-Jan-03 20:20:00,2694.0334570972486
2009-Jan-03 20:30:00,2710.0867976838917
2009-Jan-03 20:40:00,2718.323243725272
2009-Jan-03 20:50:00,2721.8217786036757
2009-Jan-03 21:00:00,2725.331890902745
2009-Jan-03 21:10:00,2729.718354752592
2009-Jan-03 21:20:00,2731.3434519348966
2009-Jan-03 21:30:00,2729.8922258163293
2009-Jan-03 21:40:00,2727.3934709004293
2009-Jan-03 21:50:00,2725.0737218397403
2009-Jan-03 22:00:00,2723.013122930105
2009-Jan-03 22:10:00,2721.507767183648
2009-Jan-03 22:20:00,2752.0602469215346
2009-Jan-03 22:30:00,2781.7360951748815
2009-Jan-03 22:40:00,2787.1671510337005
2009-Jan-03 22:50:00,2786.8998409576807
2009-Jan-03 23:00:00,2787.9981255801804
2009-Jan-03 23:10:00,2791.7987439443446
2009-Jan-03 23:20:00,2794.8964789068045
2009-Jan-03 23:30:00,2794.914389986115
2009-Jan-03 23:40:00,2793.0547973699413
2009-Jan-03 23:50:00,2790.9242734852874
2009-Jan-04 00:00:00,2789.054005392027
2009-Jan-04 00:10:00,2787.2662699858242
2009-Jan-04 00:20:00,2786.2920545893917
2009-Jan-04 00:30:00,2784.86107191045
2009-Jan-04 00:40:00,2785.1239167692634
2009-Jan-04 00:50:00,2784.8328808527012
2009-Jan-04 01:00:00,2783.588714612347
2009-Jan-04 01:10:00,2781.769141084157
2009-Jan-04 01:20:00,2785.259018319408
2009-Jan-04 01:30:00,2792.9767236071348
2009-Jan-04 01:40:00,2801.835847749913
2009-Jan-04 01:50:00,2808.334499715997
2009-Jan-04 02:00:00,2814.2180310011468
2009-Jan-04 02:10:00,2820.7028151955374
2009-Jan-04 02:20:00,2822.944573537284
2009-Jan-04 02:30:00,2821.3910519422284
2009-Jan-04 02:40:00,2818.8425229486297
2009-Jan-04 02:50:00,2816.6740599086374
2009-Jan-04 03:00:00,2814.8213004361814
2009-Jan-04 03:10:00,2812.931801934944
2009-Jan-04 03:20:00,2811.8984491363053
2009-Jan-04 03:30:00,2811.6134275486884
2009-Jan-04 03:40:00,2811.449589376915
2009-Jan-04 03:50:00,2811.0893090483974
2009-Jan-04 04:00:00,2810.5358414127836
2009-Jan-04 04:10:00,2809.846006356368
2009-Jan-04 04:20:00,2810.8274591346135
2009-Jan-04 04:30:00,2813.1271091928584
2009-Jan-04 04:40:00,2815.7372644112256
2009-Jan-04 04:50:00,2818.172935703122
2009-Jan-04 05:00:00,2820.4688061826882
2009-Jan-04 05:10:00,2822.794849070037
2009-Jan-04 05:20:00,2824.655289760376
2009-Jan-04 05:30:00,2827.5292280532626
2009-Jan-04 05:40:00,2831.3838996169898
2009-Jan-04 05:50:00,2835.508647451462
2009-Jan-04 06:00:00,2839.498525762752
2009-Jan-04 06:10:00,2843.2114323788323
2009-Jan-04 06:20:00,2826.189293429724
2009-Jan-04 06:30:00,2809.980771280953
2009-Jan-04 06:40:00,2804.6161909864904
2009-Jan-04 06:50:00,2805.5319493691136
2009-Jan-04 07:00:00,2806.499142983637
2009-Jan-04 07:10:00,2805.844896135302
2009-Jan-04 07:20:00,2797.673986414906
2009-Jan-04 07:30:00,2791.410033204722
2009-Jan-04 07:40:00,2790.3069498570685
2009-Jan-04 07:50:00,2791.7181847359498
2009-Jan-04 08:00:00,2792.92546770382
2009-Jan-04 08:10:00,2793.3921263599923
2009-Jan-04 08:20:00,2739.7943739005063
2009-Jan-04 08:30:00,2723.2873972583398
2009-Jan-04 08:40:00,2724.949545756689
2009-Jan-04 08:50:00,2739.5411088324468
2009-Jan-04 09:00:00,2755.8224061032433
2009-Jan-04 09:10:00,2764.4987920838657
2009-Jan-04 09:20:00,2764.776190957463
2009-Jan-04 09:30:00,2760.988953787597
2009-Jan-04 09:40:00,2757.0631895971546
2009-Jan-04 09:50:00,2754.077493806606
2009-Jan-04 10:00:00,2751.4335885073447
2009-Jan-04 10:10:00,2748.6017635093563
2009-Jan-04 10:20:00,2744.0526188258195
2009-Jan-04 10:30:00,2737.8283950426767
2009-Jan-04 10:40:00,2732.9436502320104
2009-Jan-04 10:50:00,2727.922808127102
2009-Jan-04 11:00:00,2722.0638167017787
2009-Jan-04 11:10:00,2708.5466451830866
2009-Jan-04 11:20:00,2703.670430056515
2009-Jan-04 11:30:00,2700.0551676920627
2009-Jan-04 11:40:00,2696.9356913507413
2009-Jan-04 11:50:00,2693.1042215223274
2009-Jan-04 12:00:00,2688.5103431983116
2009-Jan-04 12:10:00,2683.356948270419
2009-Jan-04 12:20:00,2685.7523946847095
2009-Jan-04 12:30:00,2685.26294967928
2009-Jan-04 12:40:00,2680.9291158778583
2009-Jan-04 12:50:00,2674.9614880188074
2009-Jan-04 13:00:00,2671.466473927372
2009-Jan-04 13:10:00,2666.528215619144
2009-Jan-04 13:20:00,2652.787124308153
2009-Jan-04 13:30:00,2653.463708869879
2009-Jan-04 13:40:00,2648.4907681435325
2009-Jan-04 13:50:00,2643.0358125991556
2009-Jan-04 14:00:00,2637.3801943903595
2009-Jan-04 14:10:00,2631.2834890026847
2009-Jan-04 14:20:00,2626.825299615363
2009-Jan-04 14:30:00,2624.2600729965634
2009-Jan-04 14:40:00,2621.4515660233756
2009-Jan-04 14:50:00,2617.6359846509195
2009-Jan-04 15:00:00,2613.3044841976
2009-Jan-04 15:10:00,2611.3005257407794
2009-Jan-04 15:20:00,2609.9778845969818
2009-Jan-04 15:30:00,2609.6196987693233
2009-Jan-04 15:40:00,2609.5153180492343
2009-Jan-04 15:50:00,2609.019817184041
2009-Jan-04 16:00:00,2611.8403270339563
2009-Jan-04 16:10:00,2613.2034907703314
2009-Jan-04 16:20:00,2614.839972106338
2009-Jan-04 16:30:00,2616.6759564091653
2009-Jan-04 16:40:00,2618.4420097699654
2009-Jan-04 16:50:00,2620.125524898286
2009-Jan-04 17:00:00,2621.67365091611
2009-Jan-04 17:10:00,2623.2638692177516
2009-Jan-04 17:20:00,2626.208144402202
2009-Jan-04 17:30:00,2621.240576229437
2009-Jan-04 17:40:00,2626.8119653953468
2009-Jan-04 17:50:00,2627.184419227652
2009-Jan-04 18:00:00,2626.4141687610013
2009-Jan-04 18:10:00,2626.301511900565
2009-Jan-04 18:20:00,2641.815317238953
2009-Jan-04 18:30:00,2653.6627120943176
2009-Jan-04 18:40:00,2659.163242722433
2009-Jan-04 18:50:00,2660.9599796534794
2009-Jan-04 19:00:00,2663.729160094253
2009-Jan-04 19:10:00,2666.855552729505
2009-Jan-04 19:20:00,2669.1170396650054
2009-Jan-04 19:30:00,2670.929376788845
2009-Jan-04 19:40:00,2671.727671099188
2009-Jan-04 19:50:00,2671.875744865991
2009-Jan-04 20:00:00,2671.53203170469
2009-Jan-04 20:10:00,2671.03663722182
2009-Jan-04 20:20:00,2683.2522824256885
2009-Jan-04 20:30:00,2705.346383682759
2009-Jan-04 20:40:00,2713.8633495747677
2009-Jan-04 20:50:00,2715.9295572619467
2009-Jan-04 21:00:00,2717.5523702257906
2009-Jan-04 21:10:00,2720.7329253642347
2009-Jan-04 21:20:00,2724.838707010879
2009-Jan-04 21:30:00,2728.6229413886495
2009-Jan-04 21:40:00,2731.9950984226184
2009-Jan-04 21:50:00,2735.262738056731
2009-Jan-04 22:00:00,2738.416274698666
2009-Jan-04 22:10:00,2741.949704653437
2009-Jan-04 22:20:00,2773.516558158738
2009-Jan-04 22:30:00,2805.75263647215
2009-Jan-04 22:40:00,2812.4377114264908
2009-Jan-04 22:50:00,2813.3298965799686
2009-Jan-04 23:00:00,2815.406727420498
2009-Jan-04 23:10:00,2820.5114214868945
2009-Jan-04 23:20:00,2826.900829603279
2009-Jan-04 23:30:00,2831.7733427902017
2009-Jan-04 23:40:00,2835.1737054006603
2009-Jan-04 23:50:00,2838.1826715969505
2009-Jan-05 00:00:00,2841.3668173518927
2009-Jan-05 00:10:00,2844.4156033242757
2009-Jan-05 00:20:00,2845.4800916342915
2009-Jan-05 00:30:00,2843.746603832194
2009-Jan-05 00:40:00,2840.9091481739206
2009-Jan-05 00:50:00,2838.0448147740594
2009-Jan-05 01:00:00,2835.3115988780296
2009-Jan-05 01:10:00,2832.427282854081
2009-Jan-05 01:20:00,2830.8549066354735
2009-Jan-05 01:30:00,2830.284376937995
